Topic,Count,Name,Representation,Representative_Docs,label_manual
15,118,15_terlalu_iklan_banyak_kebanyakan,"['terlalu', 'iklan', 'banyak', 'kebanyakan', 'sewajarnya', 'kenyang', 'mana', 'bukan', 'dari', 'nya']","['terlalu banyak iklan', 'terlalu banyak iklan', 'terlalu banyak iklan']",Terlalu Iklan Banyak
16,128,16_kurangi_tolong_iklannya_tambahkan,"['kurangi', 'tolong', 'iklannya', 'tambahkan', 'dikurangi', 'dong', 'komentar', 'terlalu', 'iklan', 'jangan']","['tolong iklan di kurangi', 'tolong ya iklan nya di kurangi', 'tolong dong iklan ya di kurangi']",Kurangi Tolong Iklannya
17,223,17_download_dulu_harus_fitur,"['download', 'dulu', 'harus', 'fitur', 'gratis', 'sekarang', 'dowload', 'sinetron', 'mengunduh', 'didownload']","['swkarang enggak bisa download mau download harus premium dulu waktu dulu mau download tidak harus berbayar sekarang berbayar', 'kembaliin dong fitur download masak mau download harus premium', 'aplikasi vidio tidak jelas mau download film berlangganan dulu baru bisa download film']",Download Dulu Harus
18,229,18_berlangganan_menonton_bisa_sudah,"['berlangganan', 'menonton', 'bisa', 'sudah', 'tapi', 'tetap', 'langganan', 'drm', 'live', 'tidak']","['sudah berlangganan tapi tetap enggak bisa menonton', 'padahal sudah berlangganan tapi tidak bisa menonton', 'sudah berlangganan masih tidak bisa menonton']",Berlangganan Menonton Bisa
19,247,19_mahal_harga_semakin_makin,"['mahal', 'harga', 'semakin', 'makin', 'kualitas', 'paket', 'paketnya', 'epl', 'ppn', 'harganya']","['terlalu mahal', 'tambah lama tambah mahal', 'terlalu mahal']",Mahal Harga Semakin
20,143,20_tv_live_menonton_gp,"['tv', 'live', 'menonton', 'gp', 'pildun', 'indosiar', 'bisa', 'acara', 'show', 'streaming']","['tidak bisa menonton pildun', 'jelek tidak bisa menonton live bolla pildun', 'tidak baik karena saya mencoba berulang ulang kali saat saya mencoba mode anak anak sa ya tidak bisa menonton indosiar']",Tv Live Menonton
21,123,21_bayar_episode_netflix_lagi,"['bayar', 'episode', 'netflix', 'lagi', 'berlangganan', 'langganan', 'mending', 'express', 'kaya', 'suruh']","['makin kesini makin kesana sudah beli paket premium eh saat mau menonton film terbaru ada logo express dan harus bayar rp 5000 per episode mau nguras duit viewers atau sebentar lagi mau bangkrut lalu nguras duit viewers semakin lama semakin tidak nyaman dengan aplikasi vidio kacau', 'saya berlangganan paket platinum sekalian buat satu tahun sebelum berlangganan bayar bisa menonton di tv dengan kualitas tertinggi tapi setelah berlangganan bayar saya hanya bisa menonton di kualitas terendah bahkan untuk menonton konten gratis pun hanya bisa di kualitas terendah tahu begini mending gratisan saja meski ada iklan tapi kualitas gambar bagus daripada langganan bayar tapi kualitas jadi sampah terus mengapai bayar langganan satu tahun kalau disuruh menonton kualitas sampah', 'sekarang mau menonton serie a harus tambah ada on luar biasa vidio ini terbaik dalam scam konsumennya tanpa adanya pemberitahuan mana paket premier league makin kesini mahal banget mentang mentang yang punya lisensi naikin harga sembarangan ditambah tidak adanya paket all ini untuk sport paket pakai acara di pisah pisah hadeh masih mending dipegang sama merek logo ikan kemarin deh mahal pun lebih kerasa eksklusif daripada ini hobi scam konsumennya']",Bayar Episode Netflix
22,195,22_suka_error_eror_sering,"['suka', 'error', 'eror', 'sering', 'sendiri', 'ngebug', 'ngelag', 'putus', 'keluar', 'kadang']","['suka keluar tidak jelas', 'suka error', 'suka error tidak jelas']",Suka Error Eror
23,92,23_melulu_kakean_membanyaki_bokep,"['melulu', 'kakean', 'membanyaki', 'bokep', 'iklan', 'full', 'cok', 'jualan', 'kbanyakan', 'iklannn']","['kakean iklan', 'kakean iklan', 'kakean iklan']",Melulu Kakean Membanyaki
24,158,24_uninstall_uninstal_auto_unistal,"['uninstall', 'uninstal', 'auto', 'unistal', 'maaf', 'mending', 'by', 'saja', 'terpaksa', 'sorry']","['enggak jadi aku uninstal lagi', 'auto uninstall', 'uninstall']",Uninstall Uninstal Auto
25,269,25_paket_beli_aktif_membeli,"['paket', 'beli', 'aktif', 'membeli', 'menonton', 'bisa', 'tapi', 'sudah', 'gold', 'express']","['sudah beli paket tapi tidak bisa menonton tidak jelas', 'sudah beli paket malah tidak bisa menonton', 'paket aktif tapi tidak bisa menonton']",Paket Beli Aktif
26,108,26_download_jangan_instal_menyesal,"['download', 'jangan', 'instal', 'menyesal', 'mending', 'usah', 'aplikasi', 'kalian', 'hapus', 'entar']","['jangan download aplikasinya', 'jangan download aplikasi ini', 'jangan di download']",Download Jangan Instal
27,75,27_tahi_dongo_babi_gatel,"['tahi', 'dongo', 'babi', 'gatel', 'busuk', 'aplikasi', 'gblk', 'jahannam', 'hama', 'ampas']","['aplikasi ke tahi', 'aplikasi tahi', 'aplikasi tahi']",Tahi Dongo Babi
28,171,28_mulu_lag_muter_eror,"['mulu', 'lag', 'muter', 'eror', 'gangguan', 'nge', 'error', 'ganguan', 'terus', 'giliran']","['tidak jelas lag mulu', 'lag mulu', 'lag mulu']",Mulu Lag Muter
29,207,29_aktif_berhasil_platinum_qris,"['aktif', 'berhasil', 'platinum', 'qris', 'paket', 'paketnya', 'mahasiswa', 'beli', 'belum', 'via']","['gratis 12 bulan dari pembelian tv tcl tapi baru dipakai 3 bulan sudah habis masa langganannya saat diklaim prosesnya berbelit dan tetap tidak bisa aktif lagi meskipun sudah kirim banyak bukti yang diminta pihak vidio', 'saya sudah beli paket hss melalui qris tapi kenapa belum aktif', 'ini saya sudah beli paketan platinum 30hari 5gb di my xl kenapa di vidio tidak aktif padahal paketannya sudah aktif di myxl']",Aktif Berhasil Platinum
30,66,30_kikir_felem_rudet_asu,"['kikir', 'felem', 'rudet', 'asu', 'aktip', 'linor', 'anjig', 'gblok', 'kntol', 'vilem']","['afk rudet', 'rudet', 'rudet']",Kikir Felem Rudet
31,64,31_boros_banyak_isinya_iklan,"['boros', 'banyak', 'isinya', 'iklan', 'ketolong', 'rancang', 'aplikasi', 'taikk', 'seram', 'ngbug']","['haram jadah iklanya muncul tidak henti2 aplikasi sampah', 'aplikasi buruk rakus banyakan erornya cuan nomor 1 yang lain belakangan', 'aplikasi unrated ini iklan nya menggila ih seram kali nih aplikasi']",Boros Banyak Isinya
32,98,32_lengkap_film_memuat_india,"['lengkap', 'film', 'memuat', 'india', 'gagal', 'animasi', 'kurang', 'sedikit', 'lama', 'lawas']","['film tidak lengkap', 'film kurang lengkap', 'film kurang lengkap']",Lengkap Film Memuat
33,68,33_bermutu_sangat_delete_buruk,"['bermutu', 'sangat', 'delete', 'buruk', 'aktifan', 'aplikasi', 'benar', 'super', 'cuk', 'kesalahan']","['tampilannya aplikasi tidak sesuai dengan kenyataan aplikasi tidak berguna sangat mengecewakan', 'aplikasi tidak bermutu iklan bergentayangan seperti hantu yang bandel', 'aplikasi super buruk tanpa adanya tim penanganan kendala aplikasi paling super buruk developer tidak ada']",Bermutu Sangat Delete
