Topic,Count,Name,Representation,Representative_Docs,label_manual
891,26,891_disaat_aplkasinya_trimakasih_dintingkatkan,"['disaat', 'aplkasinya', 'trimakasih', 'dintingkatkan', 'digunkan', 'maun', 'uangpun', 'terdesakk', 'downloud', 'sulit']","['trimakasih jmo sangat membantu', 'terimakasih jmo aplkasinya membantu', 'terimakasih jmo membantu disaat terdesakk']",Disaat Aplkasinya Trimakasih
892,18,892_baguslah_juara_offkine_persib,"['baguslah', 'juara', 'offkine', 'persib', 'dahhh', 'sih', 'segi', 'perkembangan', 'mah', 'maupun']","['baguslah', 'baguslah', 'baguslah']",Baguslah Juara Offkine
893,16,893_sip_love²_deh_pokoknya,"['sip', 'love²', 'deh', 'pokoknya', 'lah', 'jamsostek', 'banget', 'sama', 'oke', 'ok']","['sip deh pokoknya', 'sip pokoknya', 'sip lah pokoknya']",Sip Love² Deh
894,16,894_senang_simpanan_sekali_adanya,"['senang', 'simpanan', 'sekali', 'adanya', 'bulan', 'tua', 'setiap', 'hari', 'ada', 'dengan']","['senang sekali', 'senang sekali', 'sangat senang']",Senang Simpanan Sekali
895,32,895_serba_simple_iyaakk_dagelan,"['serba', 'simple', 'iyaakk', 'dagelan', '62', 'lasih', 'berteletele', 'nyairin', 'pbjs', 'ribed']","['cepat mudah', 'cepat mudah', 'cepat mudah']",Serba Simple Iyaakk
896,20,896_beast_membatu_memuaskat_ngampang,"['beast', 'membatu', 'memuaskat', 'ngampang', 'menbantu', 'mengunakannya', 'bembantu', 'memuasakan', 'mambantu', 'terkini']","['sangat bagus dan membatu saya', 'sangat bagus membatu sekali', 'sangat bagus dan sangat membatu']",Beast Membatu Memuaskat
897,24,897_nuhun_bangus_hatur_manyus,"['nuhun', 'bangus', 'hatur', 'manyus', 'htr', 'digunknan', 'intstal', 'kenyataanya', 'vagus', 'pasihan']","['bangus', 'bangus sih', 'bangus']",Nuhun Bangus Hatur
898,80,898_didownload_dibuka_mengapa_97,"['didownload', 'dibuka', 'mengapa', '97', 'gajalan', 'memperbaharuinya', 'intruksinya', 'kahh', 'nggsk', 'donloawd']","['kenapa aplikasinya tidak bisa dibuka', 'kenapa aplikasi tidak dapat dibuka', 'kenapa aplikasi tidak bisa dibuka setelah didownload']",Didownload Dibuka Mengapa
899,16,899_joz_jozz_plis_eroro,"['joz', 'jozz', 'plis', 'eroro', 'msntap', 'bolo', 'jangan', 'tanpa', 'ribet', '']","['joz', 'joz', 'joz']",Joz Jozz Plis
900,42,900_kadang_eror_suka_rusak,"['kadang', 'eror', 'suka', 'rusak', 'niat', 'bulum', 'diotimalkan', 'gni2', 'kmajuan', 'memangnya']","['kadang lancar kadang macet', 'kadang suka eror', 'kadang masih suka eror']",Kadang Eror Suka
901,47,901_bertahan_semoga_seterusnya_hasik,"['bertahan', 'semoga', 'seterusnya', 'hasik', 'hargai', 'mengguna', 'program2nya', 'pakoknya', 'teta', 'dikorupsi']","['semoga tambah bagus', 'semoga tambah bagus', 'semoga makin bagus']",Bertahan Semoga Seterusnya
