Topic,Count,Name,Representation,Representative_Docs,label_manual
309,68,309_jadi_mudah_semenjak_hambatan,"['jadi', 'mudah', 'semenjak', 'hambatan', 'bolehderass', 'hihii', 'segat', 'terabas', 'kasihindomaret', 'jadibmudah']","['belanja jadi mudah', 'belanja jadi mudah', 'belanja jadi mudah']",Jadi Mudah Semenjak
310,31,310_bangeeetsss_ngisi_tepot_kwrenn,"['bangeeetsss', 'ngisi', 'tepot', 'kwrenn', 'epektif', 'paraktis', 'digunakann', 'mendaftar', 'mudah', 'alat']","['sangat mudah', 'sangat mudah', 'sangat mudah']",Bangeeetsss Ngisi Tepot
311,19,311_rekomended_aplakasi_atasi_problem,"['rekomended', 'aplakasi', 'atasi', 'problem', 'beberpa', 'sekali', 'wow', 'kang', 'bagus', 'sangat']","['sangat bagus sekali', 'sangat bagus sekali', 'sangat bagus sekali']",Rekomended Aplakasi Atasi
312,49,312_ribet_no_antri_poinku,"['ribet', 'no', 'antri', 'poinku', 'anjai', 'blok', 'krajan', 'manukan', 'nusantara', 'tandes']","['joss simpel no ribet', 'mantap cowok tidak ribet', 'tidak mesti cepat yang penting mudah murah tepat']",Ribet No Antri
313,18,313_terbaikk_terbaekk_terbaikkkkk_tebaik,"['terbaikk', 'terbaekk', 'terbaikkkkk', 'tebaik', 'korekk', 'malass', 'terbaekkk', 'terbaekkkk', 'terbaiiikk', 'terbaiiik']","['terbaikk', 'terbaikk', 'terbaikk']",Terbaikk Terbaekk Terbaikkkkk
314,17,314_cerita_anti_ribet²_aflikasi,"['cerita', 'anti', 'ribet²', 'aflikasi', 'sedikit', 'bermanfaat', 'bagus', 'membantu', 'aplikasi', 'sangat']","['aplikasinya bagus sangat membantu', 'aplikasi bagus sangat membantu', 'aplikasi bagus sangat membantu']",Cerita Anti Ribet²
315,24,315_wow_amazing_approve_gays,"['wow', 'amazing', 'approve', 'gays', 'teruzzsz', 'biss', 'bangeeett', 'experience', 'sekalih', 'god']","['wow', 'wow', 'wow']",Wow Amazing Approve
316,54,316_berguna_teman_gilo_lks,"['berguna', 'teman', 'gilo', 'lks', 'slain', 'merekomendasikan', 'sertai', 'pengingat', 'inspiratif', 'terlupa']","['sangat berguna', 'sangat berguna aplikasinya', 'sangat berguna']",Berguna Teman Gilo
317,21,317_jos_gandos_joss_euy,"['jos', 'gandos', 'joss', 'euy', 'josjis', 'luncur', 'josss', 'gan', 'pak', 'mantap']","['mantap jos gandos', 'mantap jos gandos', 'mantap jos']",Jos Gandos Joss
318,26,318_berjalan_kalangan_thx_searching,"['berjalan', 'kalangan', 'thx', 'searching', 'memesan', 'periksa', 'mepermudah', 'satu2', 'dari', 'bermafaat']","['aplikasinya bagus dan berjalan dengan baik bisa mempermudah belanja dari rumah juga', 'aplikasinya bagus mepermudah kita buat belanja produk lengkap cocok untuk semua kalangan', 'aplikasi ini sangat membantu sebab jauh lebih mudah searching barang di aplikasi di banding periksa satu2 etalase di toko']",Berjalan Kalangan Thx
