Topic,Count,Name,Representation,Representative_Docs,label_manual
96,82,96_ngelag_parahhhh_parah_ngelegggg,"['ngelag', 'parahhhh', 'parah', 'ngelegggg', 'mulu', 'sering', 'perangkat', 'lemott', 'banget', 'aplikasinya']","['ngelag terus tidak jls susah', 'ngelag terus', 'ngelag parah']",Ngelag Parahhhh Parah
97,27,97_gabagus_iye_ngelag_malesin,"['gabagus', 'iye', 'ngelag', 'malesin', 'hadehh', 'asik', 'full', 'sok', 'ngeleg', 'alfa']","['ngelag', 'ngelag', 'buat full memorii']",Gabagus Iye Ngelag
98,27,98_lag_cacat_sulid_problem,"['lag', 'cacat', 'sulid', 'problem', 'bangsta', 'berminggu²', 'nemen', 'devnya', 'gejelas', 'newbie']","['cacat', 'cacat', 'cacat']",Lag Cacat Sulid
99,67,99_ramah_pelayanan_sangat_menyenangkan,"['ramah', 'pelayanan', 'sangat', 'menyenangkan', 'buruk', 'kasir', 'memuaskan', 'lempar', 'kurang', 'jutek']","['pelayanan tidak ramah pelayanan antar lambat', 'sangat buruk pelayanan nya', 'pelayanan tidak ramah']",Ramah Pelayanan Sangat
100,45,100_slow_cs_respon_customer,"['slow', 'cs', 'respon', 'customer', 'care', 'tlf', 'tanggap', 'menanggapi', 'memuaskan', 'sopan']","['aplikasi buruk cs tidak cepat tanggap menangani komplain', 'aplikasi banyak kendala pemesanan sering dibatalkan komplain lama diproses cs yang tidak cepat tanggap', 'pelayanan lama pending sampai 3 jam respon cs lelet akan saya buat review juga di bursa saham']",Slow Cs Respon
101,46,101_malam_jam_siang_sore,"['malam', 'jam', 'siang', 'sore', 'pagi', 'datang', 'sampai', 'pesan', 'dari', 'belum']","['parah banget di denpasar utara pesan dari jam 7 pagi meminta pengiriman di jam 09 10 pagi tapi sampai sekarang tidak datang datang komplain cs pun belum ada respon masalahnya pesan minum sampai kering kerontang sih ini', 'kenapa sih pengirimannya lama banget pesan jam 9 sengaja pilih jam 11 12 eh sampenya jam 5 sore wkwkw padahal di sih merah tidak sampai se jam nyampee bukan sekali dua kali sudah 5 kali kayak begini akhirnya unistal', 'ini bagaimana ya saya pesan delivery dari jam 11 siang sampai sekarang belum sampai ini sudah jam 19 malam padahal saya mesen jasa delivery yang express yang satu jam sampai tapi kenapa sampai berjam jam belum sampai ada info by wa barang sedang otw tapi diaplikasikan gagal kirim kurir sakit ini yang benar yang mana']",Malam Jam Siang
102,25,102_dongo_tahi_batatalin_udau,"['dongo', 'tahi', 'batatalin', 'udau', 'ewe', 'joosss', 'kuasai', 'jemb', 'eek', 'firebas']","['dongo aplikasinya', 'aplikasi dongo', 'aplikasi dongo']",Dongo Tahi Batatalin
103,81,103_dibuka_bisa_dipakai_masuk,"['dibuka', 'bisa', 'dipakai', 'masuk', 'vocer', 'checkout', 'aplikasinya', 'keranjang', 'tidak', 'vocher']","['tidak bisa dibuka', 'tidak bisa dibuka', 'tidak bisa dibuka']",Dibuka Bisa Dipakai
104,54,104_uninstall_uninstal_instal_maaf,"['uninstall', 'uninstal', 'instal', 'maaf', 'hapus', 'download', 'gua', 'auto', 'ku', 'udud']","['aplikasi nya tidak jelas dikit dikit update donload ulang terus ribet saat mau buka digunain malah disuruh update', 'sudah di update sudah di hapus download lagi hapus download lagi tapi lambat muter² doang asli buat kesel', 'lambat banget dari instal terus login uninstal instal dan login lagi masih lambat astaga ok thnks']",Uninstall Uninstal Instal
105,53,105_tolol_devops_pasword_aplikasi,"['tolol', 'devops', 'pasword', 'aplikasi', 'gede', 'rumit', 'anjink', 'disegala', 'buar', 'digunainn']","['aplikasi tolol', 'aplikasi tolol', 'aplikasi tolol']",Tolol Devops Pasword
