Topic,Count,Name,Representation,Representative_Docs,label_manual
17,256,17_sehari_hari_kebutuhan_memenuhi,"['sehari', 'hari', 'kebutuhan', 'memenuhi', 'untuk', 'membantu', 'dalam', 'sangat', 'belanja', 'keperluan']","['sangat membantu untuk kebutuhan sehari hari', 'sangat membantu untuk belanja kebutuhan sehari hari', 'sangat membantu untuk belanja kebutuhan sehari hari']",Sehari Hari Kebutuhan
18,208,18_lumayan_cukup_memudahkan_sekali,"['lumayan', 'cukup', 'memudahkan', 'sekali', 'mudah', 'mempermudah', 'sangat', 'membantu', 'barang', 'ini']","['lumayan membantu', 'lumayan membantu', 'lumayan membantu']",Lumayan Cukup Memudahkan
19,170,19_murah_harga_lebih_toko,"['murah', 'harga', 'lebih', 'toko', 'daripada', 'ditoko', 'dari', 'harganya', 'di', 'pada']","['harga lebih murah', 'harga lebih murah', 'harga lebih murah']",Murah Harga Lebih
20,144,20_aplikasi_terbaik_mantap_yang,"['aplikasi', 'terbaik', 'mantap', 'yang', 'josjis', 'amat', 'berguna', 'inovasi', 'keren', 'super']","['aplikasi yang mantap', 'aplikasi yang mantap', 'aplikasi yang terbaik']",Aplikasi Terbaik Mantap
21,119,21_sejauh_ini_coba_masih,"['sejauh', 'ini', 'coba', 'masih', 'sudah', 'baru', 'dulu', 'mencoba', 'baik', 'cukup']","['sejauh ini bagus', 'sejauh ini baik', 'sejauh ini baik']",Sejauh Ini Coba
22,111,22_suka_banget_indomaret_sama,"['suka', 'banget', 'indomaret', 'sama', 'aku', 'saya', 'love', 'ini', 'aplikasi', 'klik']","['suka', 'suka', 'suka']",Suka Banget Indomaret
23,79,23_blanja_belnja_mudah_lebih,"['blanja', 'belnja', 'mudah', 'lebih', 'bebelanja', 'online', 'di', 'aplikasi', 'memudahkan', 'klik']","['mudah buat blanja', 'blanja lebih mudah', 'blanja lebih mudah']",Blanja Belnja Mudah
24,54,24_bintang_berbicara_lima_biar,"['bintang', 'berbicara', 'lima', 'biar', 'bicara', 'biarkan', 'next', 'yang', '4dulu', 'kubukan']","['bintang 5', 'bintang 5', 'bintang 5']",Bintang Berbicara Lima
25,51,25_is_and_that_this,"['is', 'and', 'that', 'this', 'you', 'ai', 'like', 'the', 'good', 'all']","['aplikasi saya tidak bisa di buka dengan keterangan this website is using a security service tapi protect itself from online attacks the action you just performed triggered the security solution there are several actions that could trigger this block including submitting a certain word orang phrase a sql command orang malformed data tolongbdi bantu', 'the aplikasi is very good itu makes shopping easy like shopping on other shopping apps but this one is about daily needs such as food and body supplies very good', 'now we have entered the era of ai agi and ai asi i hope klik indomaret continues tapi improve and increase its capabilities tapi become a super ai a super ai that can di anything that exceeds humans an ai that can improve and repair itself an ai that can analyze and structure documents accurately and ini detail tapi memakai training on itself orang the output that will be produced an ai that can be fully integrated into the entire system an ai that can be fully integrated into humanoid robots']",Is And That
26,36,26_pisan_geber_alus_aya,"['pisan', 'geber', 'alus', 'aya', 'iki', 'mongkle', 'sae', 'yoko', 'lah', 'ngelag']","['sae pisan', 'aslina alus pisan iyeu aplikasi euy keren waa sangat ngabantu pisan anyinglah top', 'mantap pisan']",Pisan Geber Alus
27,25,27_harga_saat_puas_belanja,"['harga', 'saat', 'puas', 'belanja', 'hemat', 'berguna', 'rama', 'discon', 'orang', 'express']","['belanja puas harga saat', 'belanja puas harga saat', 'belanja puas harga saat']",Harga Saat Puas
28,16,28_markotop_top_makacie_dsamping,"['markotop', 'top', 'makacie', 'dsamping', 'saia', 'ee', 'coz', 'pesanan', 'makanya', 'mantapss']","['top markotop', 'top markotop', 'top markotop']",Markotop Top Makacie
