Topic,Count,Name,Representation,Representative_Docs,label_manual
17,205,17_ubur_sambil_ikan_rebahan,"['ubur', 'sambil', 'ikan', 'rebahan', 'lele', 'lee', 'boleh', 'bisa', 'belanja', 'rumah']","['ubur ubur ikan lele mantap boleh', 'ubur ubur ikan lele alfagift mantap boleh', 'ubur ubur ikan lele belanja di alfagift banyak untuk nya boleh']",Ubur Sambil Ikan
18,168,18_siap_depan_antar_pintu,"['siap', 'depan', 'antar', 'pintu', 'sampai', 'pesanan', 'diantar', 'anda', 'rumah', 'ongkir']","['aplikasi yang bagus siap antar sampai depan rumah tanpa ongkir', 'siap diantar sampai depan pintu', 'siap antar pesanan anda sampai depan pintu']",Siap Depan Antar
19,156,19_tingkatkan_semakin_makin_maju,"['tingkatkan', 'semakin', 'makin', 'maju', 'lagi', 'baik', 'cashbacknya', 'terus', 'lebih', 'di']","['aplikasinya sangat membantu terus tingkatkan lagi', 'bagus tingkatkan lagi', 'sangat baik dan terus di tingkatkan']",Tingkatkan Semakin Makin
20,126,20_pokona_mah_tau_enggak,"['pokona', 'mah', 'tau', 'enggak', 'komen', 'pokok', 'dewe', 'sak', 'jos', 'apa']","['pokona mah the best banyak promo', 'bagus pokona mah', 'mantap pokona mah']",Pokona Mah Tau
21,114,21_semua_cari_apapun_mikir,"['semua', 'cari', 'apapun', 'mikir', 'ada', 'lengkap', 'banget', 'perlu', 'alfamart', 'bisa']","['barang lengkap cari apapun ada satu aplikasi semua kebutuhan', 'cari apapun ada lengkap banget satu aplikasi semua kebutuhan', 'satu aplikasi semua kebutuhan cari apapun ada lengkap banget']",Semua Cari Apapun
22,84,22_hati_selalu_dihati_di,"['hati', 'selalu', 'dihati', 'di', 'alfamart', 'alfagift', 'yang', 'terbaik', 'ada', 'dengan']","['alfagift selalu di hati', 'alfagift selalu di hati', 'alfagift selalu di hati']",Hati Selalu Dihati
23,64,23_bintang_berbicara_lima_biar,"['bintang', 'berbicara', 'lima', 'biar', 'bicara', 'yang', 'menilai', 'rata', 'menjelaskan', 'biarkan']","['bintang 5', 'bintang 5', 'bintang 5']",Bintang Berbicara Lima
24,64,24_and_this_easy_application,"['and', 'this', 'easy', 'application', 'for', 'is', 'shopping', 'use', 'tapi', 'very']","['i really enjoy using this application because the delivery is very fast and easy', 'this application is very helpful and makes itu easier for us tapi shop at alfamart', 'i enjoy using this application fast delivery friendly and handsome delivery courier courier is polite and kind ordering goods is easy and free attractive promos and affordable low prices shopping is very easy and hassle free itu si indeed possible tapi shop online this easily memakai you addicted tapi shopping while staying away from home the product is appropriate and complete']",And This Easy
25,60,25_boleh_semudah_memang_ini,"['boleh', 'semudah', 'memang', 'ini', 'ya', 'online', 'sekeren', 'sebagus', 'belanja', 'se']","['memang boleh ya belanja online semudah ini', 'memang boleh ya belanja online semudah ini', 'memang boleh ya belanja online semudah ini']",Boleh Semudah Memang
26,40,26_semua_satu_kebutuhan_tersedia,"['semua', 'satu', 'kebutuhan', 'tersedia', 'aplikasi', 'ada', 'di', 'mendatangi', 'donlowad', 'yulia']","['satu aplikasi semua kebutuhan', 'satu aplikasi semua kebutuhan', 'satu aplikasi semua kebutuhan']",Semua Satu Kebutuhan
27,38,27_في_𝑦𝑔_все_الترويجية,"['في', '𝑦𝑔', 'все', 'الترويجية', '𝑑𝑖', 'من', 'العروض', '𝑢𝑛𝑡𝑢𝑘', '𝑑𝑎𝑝𝑎𝑡', '𝒑𝒓𝒐𝒎𝒐']","['العناصر الكاملة العديد من العروض الترويجية تسوق سعيد حق ا في alfagift الكثير من العروض الترويجية شحن مجاني للتسوق في alfagift', '𝑃𝑜𝑘𝑜𝑘𝑛𝑎𝑚𝑎ℎ ℎ𝑎𝑡𝑢𝑟 𝑛𝑢ℎ𝑢𝑛 𝐴𝐿𝐹𝐴𝐺𝐼𝐹𝑇 𝑢𝑛𝑡𝑢𝑘 𝑟𝑖𝑡𝑒𝑙 𝑑𝑖 𝑡𝑒𝑚𝑝𝑎𝑡𝑘𝑢 𝐽𝑙 𝑃𝑟𝑎𝑚𝑢𝑘𝑎 𝐵𝑢𝑛𝑑𝑒𝑟 𝐽𝑎𝑡𝑖𝑙𝑢ℎ𝑢𝑟 𝑃𝑢𝑟𝑤𝑎𝑘𝑎𝑟𝑡𝑎 𝑎𝑡𝑎𝑠 𝑝𝑒𝑙𝑎𝑦𝑎𝑛𝑎𝑛𝑛𝑦𝑎 𝑦𝑔 𝑠𝑎𝑛𝑔𝑎𝑡 𝑏𝑎𝑖𝑘 𝑛 𝑢𝑛𝑡𝑢𝑘 𝑘𝑢𝑟𝑖𝑟2𝑛𝑦𝑎 𝑗𝑢𝑔𝑎', '𝐴𝑙𝑓𝑎𝑔𝑖𝑓𝑡 𝑑𝑎𝑝𝑎𝑡 𝑚𝑒𝑚𝑏𝑢𝑎𝑡 𝑐𝑢𝑠𝑡𝑜𝑚𝑒𝑟 𝑎𝑙𝑓𝑎𝑚𝑎𝑟𝑡 𝑚𝑢𝑑𝑎ℎ 𝑚𝑒𝑛𝑐𝑎𝑟𝑖 𝑏𝑎𝑟𝑎𝑛𝑔 𝑦𝑔 𝑑𝑖 𝑖𝑛𝑔𝑖𝑛𝑘𝑎𝑛 𝐴𝑝𝑙𝑖𝑘𝑎𝑠𝑖 𝑖𝑛𝑖 𝑚𝑒𝑚𝑎𝑛𝑔 𝑏𝑎𝑔𝑢𝑠 𝑑𝑎𝑛 𝑑𝑎𝑝𝑎𝑡 𝑚𝑒𝑚𝑏𝑒𝑟𝑖 𝑖𝑛𝑓𝑜𝑟𝑚𝑎𝑠𝑖 𝑦𝑔 𝑎𝑘𝑢𝑟𝑎𝑡']",في 𝑦𝑔 Все
28,22,28_tabarakallah_masyaallah_allah_mashaallah,"['tabarakallah', 'masyaallah', 'allah', 'mashaallah', 'masyallah', 'alhdulillah', 'jazakumullah', 'khair', 'allahuakbar', 'akbar']","['mashaallah tabarakallah', 'masyaallah tabarakallah sekali aplikasi nya', 'masyaallah tabarakallah']",Tabarakallah Masyaallah Allah
