Topic,Count,Name,Representation,Representative_Docs,label_manual
795,50,795_pelayanan_mantap2_sekalia_walaulun,"['pelayanan', 'mantap2', 'sekalia', 'walaulun', 'ramah', 'alamatnya', 'terakhir', 'lengkappp', 'jamin', 'tanggap']","['pengiriman cepat dan pelayanan ramah', 'pengiriman cepat dan pelayanan ramah', 'pengiriman cepat dan pelayanan yang ramah']",Pelayanan Mantap2 Sekalia
796,39,796_manfaatnya_untungnya_keuntungannya_onkirnya,"['manfaatnya', 'untungnya', 'keuntungannya', 'onkirnya', 'siakan', 'alfagifit', 'untungnyaa', 'kerasa', 'kegunaan', 'manfaat']","['banyak manfaatnya', 'banyak manfaatnya', 'ada manfaatnya']",Manfaatnya Untungnya Keuntungannya
797,56,797_kurirnyaaaa_gojob_pringsewu_terobati,"['kurirnyaaaa', 'gojob', 'pringsewu', 'terobati', 'sir', 'kslamatan', 'kegalauan', 'mar', 'cikadap', 'bermanfast']","['sangat mantap', 'sangat mantap', 'sangat mantap']",Kurirnyaaaa Gojob Pringsewu
798,49,798_barang²apa_dikasiran_memlermudah_bagaikan,"['barang²apa', 'dikasiran', 'memlermudah', 'bagaikan', 'respons', 'petir', 'mantap', 'terbaiklah', 'one', 'alias']","['alfagift mantap', 'alfagift mantap', 'alfagift mantap']",Barang²Apa Dikasiran Memlermudah
799,47,799_kini_alfagiftt_pokokmya_lwbih,"['kini', 'alfagiftt', 'pokokmya', 'lwbih', 'hehehh', 'alfamartmenang', 'terselamatkan', 'antr', 'hidupku', 'berkat']","['belanja lebih mudah dengan alfagift', 'belanja lebih mudah dengan alfagift', 'belanja lebih mudah dengan alfagift']",Kini Alfagiftt Pokokmya
800,29,800_mantabbb_mantabbbb_mantabbbbbb_mantebbbb,"['mantabbb', 'mantabbbb', 'mantabbbbbb', 'mantebbbb', 'mantabbbbssss', 'alfgiftjosss', 'mailernya', 'mantabbs', 'mantabbbbbbb', 'mantabbbbbsssss']","['mantabbb', 'mantabbb', 'mantabbb']",Mantabbb Mantabbbb Mantabbbbbb
801,51,801_bagusq_belii_bnyakkk_cokk,"['bagusq', 'belii', 'bnyakkk', 'cokk', 'ngongkek', 'mntapppp', 'mrnarik', 'prlayanan', 'dapatin', 'pengerimannya']","['banyak promo nya', 'banyak promo nya', 'banyak promo nya']",Bagusq Belii Bnyakkk
802,26,802_berkualitas_personil_produkya_ramaaah,"['berkualitas', 'personil', 'produkya', 'ramaaah', 'rahma', 'toko', 'produk', 'ramah', 'personel', 'pkonya']","['produk lengkap berkualitas personil toko ramah', 'produk lengkap dan berkualitas personil toko ramah', 'produk lengkap berkualitas personil toko ramah']",Berkualitas Personil Produkya
803,22,803_the_world_best_besr,"['the', 'world', 'best', 'besr', 'earth', 'seindonesia', 'aplilasi', 'wangi', 'ramah²', 'apps']","['aplikasi the best', 'aplikasi the best', 'aplikasi the best']",The World Best
804,40,804_kasirnya_ganteng²_dekat_cliff,"['kasirnya', 'ganteng²', 'dekat', 'cliff', 'musah', 'merantaw', 'berhubung', 'cantik²', 'karyawannya', 'nyamannn']","['pelayanan nya sangat puas dan kasirnya ramah ramah semua setiap belanja di alfamart', 'wow pelayanan yang keren saya suka belanja di toko alfamart bali cliff kasirnya pada ramah', 'pelayanan ramah banyak diskon nya juga karyawan nya ganteng² dan cantik² pokoknya alfamart solusi tepat untuk belanja harian bahkan bulanan keluarga']",Kasirnya Ganteng² Dekat
805,31,805_memuaskan_sangatta_àplikasi_jauh2,"['memuaskan', 'sangatta', 'àplikasi', 'jauh2', 'jamin', 'panjang', 'gerai', 'jaman', 'bersahabat', 'milenial']","['sangat bagus dan memuaskan', 'sangat bagus dan memuaskan', 'bagus dan memuaskan']",Memuaskan Sangatta Àplikasi
806,56,806_hemat_passss_puasssssasss_workitt,"['hemat', 'passss', 'puasssssasss', 'workitt', 'alfamartpeduli', 'saat', 'harga', 'bbm', 'hargaaa', 'dann']","['belanja hemat harga saat', 'belanja hemat harga saat', 'belanja hemat harga saat']",Hemat Passss Puasssssasss
