Topic,Count,Name,Representation,Representative_Docs,label_manual
15,227,15_stok_kosong_toko_stock,"['stok', 'kosong', 'toko', 'stock', 'barang', 'tersedia', 'barangnya', 'ada', 'di', 'promo']","['dikit² update kelengkapan barangnya tidak di update mau beli ini stok kosong mau beli itu stok kosong mending langsung ke toko', 'tiap mau cek out stok gudang selalu stok kosong mohon lebih di perhatikan lagi ketersediaan stok nya', 'stok di toko sama di aplikasi beda di aplikasi ada stok setelah di cek di toko ternyata tidak ada stok sama sekali buat apa juga alfa buat aplikasi seperti begini kalau stok barangnya dengan aplikasi tidak real aplikasi payah']",Stok Kosong Toko
16,177,16_kenapa_buka_kebuka_bisa,"['kenapa', 'buka', 'kebuka', 'bisa', 'keluar', 'ya', 'tool', 'aplikasinya', 'kok', 'terus']","['kenapa kok tidak bisa di buka', 'kenapa tidak bisa di buka', 'kenapa tidak bisa di buka sih']",Kenapa Buka Kebuka
17,183,17_perbaiki_tolong_mohon_segera,"['perbaiki', 'tolong', 'mohon', 'segera', 'diperbaiki', 'lagi', 'aplikasinya', 'di', 'bug', 'dong']","['tidak bisa buka aplikasi force close di perangkat hp google pixel pixel 7 pro dan saya lihat beberapa ulasan juga mengalami hal yang sama mohon untuk updatenya karena sangat mengganggu dan mohon untuk perbaikannya segera terimakasih', 'tolong di perbaiki lagi aplikasi nya karena aplikasi nya ada kendala bug force close tolong ya min', 'kenapa aplikasinya tidak bisa di buka tolong di perbaiki']",Perbaiki Tolong Mohon
18,80,18_bad_bosok_bapuk_kurg,"['bad', 'bosok', 'bapuk', 'kurg', 'butut', 'best', 'lawak', 'bug', 'ngebug', '45u']","['bosok', 'bosok', 'bosok']",Bad Bosok Bapuk
19,183,19_update_close_force_dibuka,"['update', 'close', 'force', 'dibuka', 'malah', 'buka', 'setelah', 'bisa', 'download', 'instal']","['di update malah tidak bisa dibuka', 'sudah di update malah tidak bisa juga dibuka', 'setelah di update malah tidak bisa dibuka aplikasi nya']",Update Close Force
20,155,20_jaringan_lancar_sinyal_wifi,"['jaringan', 'lancar', 'sinyal', 'wifi', 'bagus', 'internet', 'padahal', 'lambat', 'loading', 'stabil']","['aplikasi terampas padahal jaringan lancar buka aplikasi lain juga lancar giliran buka alfagift lambat banget', 'lambat banget aplikasinya padahal jaringan oke', 'lambat banget aplikasi nya padahal jaringan nya bagus']",Jaringan Lancar Sinyal
21,80,21_log_bisa_dibuka_buka,"['log', 'bisa', 'dibuka', 'buka', 'produk', 'tidak', 'terbuka', 'tersedia', 'akses', 'keranjang']","['tidak bisa di buka', 'tidak bisa di buka', 'tidak bisa buka']",Log Bisa Dibuka
22,114,22_rokok_beli_jual_roko,"['rokok', 'beli', 'jual', 'roko', 'web', 'kondom', 'bisa', 'lengkap', 'nugget', 'pencarian']","['kagak bisa beli rokok', 'enggak bisa beli rokok', 'enggak bisa beli rokok']",Rokok Beli Jual
23,159,23_metode_pembayaran_cod_pilih,"['metode', 'pembayaran', 'cod', 'pilih', 'memilih', 'bisa', 'qris', 'keranjang', 'ubah', 'batal']","['pada waktu memilih metode pembayaran tidak bisa diklik semua', 'saat mau bayar tidak bisa memilih metode pembayaran', 'metode pembayaran tidak bisa di klik']",Metode Pembayaran Cod
24,109,24_cod_minimal_50_50rb,"['cod', 'minimal', '50', '50rb', 'ribu', '000', '50k', 'harus', 'minimum', 'belanja']","['cod harus minimal 50rb hadeh tolong dong untuk pembayaran cod minimal nya 10rb kayak jangan 50rb', 'sekarang cod minimal belanja 50 ribu', 'kenapa sekarang kalau mau cod minimal belanja 50rb']",Cod Minimal 50
25,83,25_makin_jam_kesini_setelah,"['makin', 'jam', 'kesini', 'setelah', 'sejam', 'pengantaran', 'cepat', 'lama', 'berjam', 'pengantarannya']","['pengantarannya padahal sudah memilih yang maksimal 1 jam setelah pembayaran tapi tiap mesen pasti selalu lebih dari 1 jam dan waktu pengantarannya lama jadi bisa total 2 jam lebih buat sampai iya tausih gratis tapi kalau enggak bisa sampai dalam 1 jam setidaknya enggak usah overclaim jadi cust yang sudah ada agenda di jam2 berikutnya gaperlu menunggu lama', 'pilih pengantaran maksimal 1 jam setelah pembayaran tapi nyatanya 2 4jam baru sampai aneh banget lain kali kalau benar benar enggak bisa sampai dalam 1 jam enggak usah ada opsi tersebut hilangkan saja buat kecewa soalnya', 'awalnya aman2 saja tapi makin kesini makin lama banget di antarnya padahal sudah pilih option pengantaran maksimal 1 jam setelah pembayaran tapi selalu 2 3 jam baru di antar kalau urgent mending jangan pakai alfagift lelet di antarnya']",Makin Jam Kesini
26,124,26_koin_shopee_bayar_pakai,"['koin', 'shopee', 'bayar', 'pakai', 'shopeepay', 'spaylater', 'gopay', 'later', 'pay', 'paylater']","['semenjak di update bayar pakai koin shopee pay dan spatlater kok malah tidak bisa', 'sayang sekali setelah diperbarui tidak bisa bayar pakai koin shopee', 'enggak bisa pakai koin shopee']",Koin Shopee Bayar
27,157,27_daftar_gagal_mau_terus,"['daftar', 'gagal', 'mau', 'terus', 'verifikasi', 'susah', 'aktifitas', 'saja', 'sulit', 'bisa2']","['tidak bisa daftar loading terus', 'tidak bisa daftar loading terus', 'mau daftar tidak bisa 2']",Daftar Gagal Mau
